Name,Team,Type,Type_Description,Cost,Activity,Activity_description,Size,Official,Stock,Special_feature,Usage,Features,Season,Property,Material,Closure,Shop,Shop_description,CreditCard_provider,Discount,City,Units,CreditCard_num,CreditCard_expiry,Total_cost,Date
Alavés Ball  51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,,106,,,,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",JCB 15 digit,0%,"Zamora, Spain",2,3587320157434967,11/24,103.3,2023-12-06 04:35:35
Alavés Jersey L Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,L,Official,41,Breathable,,,All Seasons,,Polyester,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 16 digit,0%,"Cuenca, Spain",2,30274017995544,05/25,206.62,2023-02-13 07:27:35
Alavés Long Pants M Official 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Activities,Designed for sports and exercise activities.,M,Official,108,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,Maestro,0%,"Murcia, Spain",2,4696677021448085,06/25,247.96,2019-10-12 22:25:55
Alavés Goalkeeper Gloves S 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,S,,34,,,,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Maestro,15%,"Ávila, Spain",4,4402339080226371340,08/27,743.92,2022-04-15 13:10:22
Alavés Sweatshirt M Official 82.65  Summer Blend,Alavés,Sweatshirt,"Casual, warm garment for chilly weather.",82.65,Casual Wear,Comfortable and casual wear for everyday use.,M,Official,93,,,,Summer,,Blend,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",Maestro,10%,"Huelva, Spain",4,4402339080226371340,08/27,330.6,2021-03-16 16:31:39
Alavés Socks S 20.65 All sports  Sweet fit,Alavés,Socks,Garments worn on the feet for comfort and warmth.,20.65,Sports and Exercise,Designed for sports and exercise routines.,S,,21,,All sports,,,Sweet,,fit,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",Mastercard,0%,"Córdoba, Spain",5,5235937966239435,11/24,103.25,2021-11-12 10:04:09
Alavés Goalkeeper Gloves XL Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,XL,Official,38,,,,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Mastercard,0%,"Soria, Spain",7,2237130826853521,05/33,1301.86,2021-11-11 02:00:58
Alavés Bermuda Shorts L 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,L,,121,UV Protection,,,All Seasons,,Polyester,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",VISA 19 digit,0%,"Melilla, Spain",3,4846399416409734,03/34,278.94,2019-06-17 03:52:05
Alavés Polo Shirt XL Official 72.31  All Seasons Polyester,Alavés,Polo Shirt,"Collared shirt with short sleeves, often for casual wear.",72.31,Fashion Wear,Casual yet sporty attire for various occasions.,XL,Official,119,,,,All Seasons,,Polyester,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",,,,,,,,
Alavés Ball  51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,,55,,,,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 15 digit,0%,"Madrid, Spain",4,4239676812025405110,06/26,206.6,2023-08-26 02:00:59
Alavés Bermuda Shorts M 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,M,,31,UV Protection,,,All Seasons,,Polyester,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",JCB 15 digit,0%,"Las Palmas, Spain",10,4892393225933193,01/28,929.8000000000001,2020-05-21 23:14:40
Alavés Pencil Case Official 26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,Official,10,Multi-Compartment,,Ink Compartment,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 13 digit,25%,"Guadalajara, Spain",10,4710859365538,06/30,268.5,2021-10-02 21:50:08
Alavés Boots XS 165.31 Football  Waterproof Lace-up,Alavés,Boots,Sports footwear designed for different activities.,165.31,Football,Ideal for football players and enthusiasts.,XS,,57,Waterproof,Football,,,Waterproof,,Lace-up,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",American Express,0%,"Ciudad, Spain",11,3569908561072639,10/28,1818.41,2022-12-28 15:58:20
Alavés Ball Official 51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,Official,74,,,,,,,,Alavés - GoalLine Gear,"Your go-to destination for top-quality gear and equipment, specializing in everything you need to reach the goal line.",Maestro,5%,"Baleares, Spain",3,3554544032872096,03/33,154.95,2024-02-02 05:51:43
Alavés Goalkeeper Gloves S Official 185.98,Alavés,Goalkeeper Gloves,Protective gloves worn by goalkeepers in sports like football.,185.98,Soccer,Specifically designed for football goalkeepers.,S,Official,81,,,,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 15 digit,10%,"Cantabria, Spain",4,3580904312358109,10/32,743.92,2019-09-05 21:09:33
Alavés Cup  41.31 Microwave and Dishwasher Safe,Alavés,Cup,"Drinking vessel, often awarded as a trophy in competitions.",41.31,Sports and Achievements,A trophy cup suitable for sports achievements.,,,117,,,Microwave and Dishwasher Safe,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 16 digit,5%,"Jaén, Spain",8,3530042185579856,02/33,330.48,2021-08-05 12:31:19
Alavés Long Pants S 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Activities,Designed for sports and exercise activities.,S,,20,,,,Summer,,Blend,,Alavés - CornerKick Collections,"Discover the latest trends in football gear at CornerKick Collections, your premier destination for sportswear.",VISA 16 digit,25%,"Cádiz, Spain",2,630441689571,12/27,247.96,2020-01-13 12:15:22
Alavés Pencil Case  26.85 Ink Compartment,Alavés,Pencil Case,"Container for storing pens, pencils, and other stationery.",26.85,School and Office,Useful for school and office organization.,,,52,Multi-Compartment,,Ink Compartment,,,,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",Diners Club / Carte Blanche,0%,"Asturias, Spain",11,4337650686568435,12/28,295.35,2022-02-28 20:48:02
Alavés Cap M Official 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,M,Official,61,,,UV Protection,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",JCB 16 digit,10%,"Zamora, Spain",1,4083114937302504,06/30,41.31,2023-05-30 14:40:57
Alavés Ball Official 51.65,Alavés,Ball,Spherical object used in various sports and games.,51.65,Few Sports,Versatile ball for various sports and games.,,Official,61,,,,,,,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",JCB 16 digit,25%,"Sevilla, Spain",7,501878561684,11/25,361.55,2019-07-16 14:32:18
