Name,Team,Type,Type_Description,Cost,Activity,Activity_description,Size,Official,Stock,Special_feature,Usage,Features,Season,Property,Material,Closure,Shop,Shop_description,CreditCard_provider,Discount,City,Units,CreditCard_num,CreditCard_expiry,Total_cost,Date
Alavés Long Pants XS Official 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Exercise,Designed for sports and exercise activities.,XS,Official,6,,,,Summer,,Blend,,Alavés - Striker's Style Outlet,Striker's Style Outlet - where fashion meets functionality for the soccer enthusiast with an eye for style.,VISA 16 digit,25%,"Teruel, Spain",7,4341023631298,05/32,867.86,2020-11-18 16:58:25
Alavés Long Pants L Official 123.98  Summer Blend,Alavés,Long Pants,Full-length trousers or pants.,123.98,Sports and Exercise,Designed for sports and exercise activities.,L,Official,44,,,,Summer,,Blend,,Alavés - PitchSide Pro Shop,"Experience the best in football merchandise at PitchSide Pro Shop, your trusted source for all your football needs.",Discover,50%,"Lleida, Spain",7,3549938468641892,11/32,867.86,2019-05-24 14:44:41
Alavés Jersey XS Official 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,XS,Official,81,Breathable,,,All Seasons,,Polyester,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",VISA 19 digit,0%,"Soria, Spain",6,371632356756032,02/34,619.86,2023-04-07 13:25:15
Alavés Backpack  144.65 Multi-Compartment,Alavés,Backpack,"Bag worn on the back, designed to carry belongings.",144.65,Travel and Everyday Use,Ideal for travel and everyday use.,,,14,Laptop Compartment,,Multi-Compartment,,,,,Alavés - KickOff Kits,"Kickstart your football journey with our premium kits, designed for ultimate comfort and style on the field.",JCB 15 digit,0%,"Salamanca, Spain",2,675916244311,06/33,289.3,2021-12-31 11:56:43
Alavés Cap S 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,S,,65,,,UV Protection,,,,,Alavés - NetBound Sports,"NetBound Sports offers a curated selection of sports essentials, ensuring you're ready for action on the pitch.",,,,,,,,
Alavés Jersey S 103.31  All Seasons Polyester,Alavés,Jersey,"Athletic shirt, often associated with sports teams.",103.31,Any Sport,Suitable for any sports activity.,S,,109,Breathable,,,All Seasons,,Polyester,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 16 digit,0%,"Baleares, Spain",8,2229117931154192,01/25,826.48,2020-05-08 11:05:22
Alavés Bermuda Shorts M 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,M,,12,UV Protection,,,All Seasons,,Polyester,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",VISA 16 digit,10%,"Teruel, Spain",6,30189903768096,02/32,557.88,2020-11-14 10:14:56
Alavés Shorts 2XL Official 61.98  Winter Cotton,Alavés,Shorts,"Brief-length trousers, worn in warm weather or for sports.",61.98,Summer Activities,Great for staying cool during summer sports.,2XL,Official,8,,,,Winter,,Cotton,,Alavés - PitchPerfect Provisions,"PitchPerfect Provisions provides the finest in football attire and accessories, elevating your game-day experience.",JCB 15 digit,0%,"Castellón, Spain",6,2710462926885947,06/26,371.88,2020-11-24 06:44:09
Alavés Bermuda Shorts S 92.98  All Seasons Polyester,Alavés,Bermuda Shorts,"Knee-length shorts, often worn in warm weather.",92.98,Summer Activities,Perfect for staying cool during summer activities.,S,,107,UV Protection,,,All Seasons,,Polyester,,Alavés - TurfTrends Emporium,"TurfTrends Emporium - your one-stop-shop for all things soccer, from equipment to apparel, we've got you covered.",Maestro,0%,"Zaragoza, Spain",6,630441034547,05/33,557.88,2023-06-08 01:42:20
Alavés Coat XS 268.65  Winter Cotton,Alavés,Coat,Outerwear garment for protection against cold weather.,268.65,Winter Activities,Designed to keep you warm during winter activities.,XS,,117,Wind-resistant,,,Winter,,Cotton,,Alavés - SoccerSphere,"Explore a world of soccer excellence at SoccerSphere, where passion meets performance in every product.",JCB 16 digit,0%,"Ávila, Spain",7,2245502059101010,02/33,1880.5499999999997,2020-08-18 02:54:02
Alavés Cap S Official 41.31 UV Protection,Alavés,Cap,"Headwear with a brim, often used for sports or casual wear.",41.31,Sports and Outdoor Activities,Suitable for various outdoor sports and activities.,S,Official,84,,,UV Protection,,,,,Alavés - Referee's Choice Sports,"Referee's Choice Sports brings you top-notch gear for referees and players alike, ensuring a fair and enjoyable game.",VISA 13 digit,0%,"Alicante, Spain",11,378520756348778,06/33,454.41,2023-11-05 19:18:35
