FirstName,LastName,birthdate,Gender,vacation_days,Shop,role,shift
Manuela,Palacio,1978-02-15 02:07:00,Female,12,Alavés - NetBound Sports,Store Manager,11:00 AM - 7:00 PM
María Jesús,Carretero,1992-12-30 02:49:41,Female,4,Alavés - NetBound Sports,Store Manager,11:00 AM - 7:00 PM
Moisés,Cervantes,1982-07-05 00:00:43,Male,14,Alavés - NetBound Sports,Customer Service Representative,12:00 PM - 8:00 PM
Jose Luis,Planas,1987-03-20 06:12:11,Male,6,Alavés - NetBound Sports,Sales Associate,9:00 AM - 5:00 PM
Melisa,Ledesma,2005-10-03 15:03:55,Female,10,Alavés - CornerKick Collections,Inventory Clerk,9:00 AM - 5:00 PM
León,Suarez,2005-11-12 06:06:21,Male,6,Alavés - CornerKick Collections,Sales Associate,10:00 AM - 6:00 PM
Marcio,Calvo,1984-11-20 22:37:51,Male,6,Alavés - CornerKick Collections,Store Manager,9:00 AM - 5:00 PM
Nilda,Rovira,1999-03-16 20:07:54,Female,9,Alavés - CornerKick Collections,Customer Service Representative,11:00 AM - 7:00 PM
Aurelio,Pellicer,1986-06-16 22:28:11,Male,15,Alavés - CornerKick Collections,Customer Service Representative,10:00 AM - 6:00 PM
Nereida,Villena,1989-10-10 03:26:49,Female,9,Alavés - CornerKick Collections,Sales Associate,11:00 AM - 7:00 PM
Mireia,Sánchez,1974-04-20 23:24:59,Female,13,Alavés - GoalLine Gear,Cashier,10:00 AM - 6:00 PM
Fausto,Cervantes,1978-01-28 10:41:03,Male,7,Alavés - GoalLine Gear,Customer Service Representative,10:00 AM - 6:00 PM
Teresita,Duque,1982-09-29 19:42:08,Female,6,Alavés - GoalLine Gear,Sales Associate,12:00 PM - 8:00 PM
Eustaquio,Ripoll,1989-11-23 06:43:26,Male,8,Alavés - GoalLine Gear,Sales Associate,9:00 AM - 5:00 PM
Rosalinda,Blanco,1994-02-15 10:01:33,Female,12,Alavés - GoalLine Gear,Inventory Clerk,11:00 AM - 7:00 PM
Chucho,Gomis,2003-12-15 21:54:44,Male,13,Alavés - GoalLine Gear,Inventory Clerk,10:00 AM - 6:00 PM
Miguel,Palacios,1986-07-08 01:57:52,Male,12,Alavés - Referee's Choice Sports,Sales Associate,10:00 AM - 6:00 PM
Jaime,Ribera,1976-01-12 21:41:50,Male,12,Alavés - Referee's Choice Sports,Cashier,12:00 PM - 8:00 PM
Rolando,Sandoval,1976-04-03 20:20:43,Male,7,Alavés - Referee's Choice Sports,Store Manager,10:00 AM - 6:00 PM
Estefanía,Pallarès,1974-10-04 00:33:48,Female,6,Alavés - Referee's Choice Sports,Inventory Clerk,11:00 AM - 7:00 PM
Lucía,Matas,1998-06-09 22:56:34,Female,2,Alavés - PitchSide Pro Shop,Store Manager,9:00 AM - 5:00 PM
Reinaldo,Flores,1977-03-16 17:23:40,Male,7,Alavés - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
Venceslás,Villa,2000-06-26 00:35:20,Male,10,Alavés - PitchSide Pro Shop,Sales Associate,9:00 AM - 5:00 PM
Jeremías,Roma,1985-09-21 12:50:07,Male,9,Alavés - PitchSide Pro Shop,Sales Associate,12:00 PM - 8:00 PM
Mar,Pol,1994-05-01 05:55:15,Female,8,Alavés - PitchSide Pro Shop,Store Manager,9:00 AM - 5:00 PM
Gala,Sacristán,2000-04-02 08:19:02,Female,10,Alavés - SoccerSphere,Sales Associate,11:00 AM - 7:00 PM
Jacinto,Estevez,1982-08-16 17:48:40,Male,7,Alavés - SoccerSphere,Customer Service Representative,12:00 PM - 8:00 PM
Maricela,Cuéllar,1986-08-18 02:41:14,Female,4,Alavés - SoccerSphere,Cashier,12:00 PM - 8:00 PM
Rocío,Amador,2005-12-19 05:45:03,Female,4,Alavés - SoccerSphere,Cashier,10:00 AM - 6:00 PM
Jenny,Uría,1987-02-17 13:16:07,Female,7,Alavés - SoccerSphere,Customer Service Representative,10:00 AM - 6:00 PM
Diana,Rius,1996-04-01 19:02:18,Female,9,Alavés - KickOff Kits,Cashier,12:00 PM - 8:00 PM
Ambrosio,Enríquez,1979-01-27 18:11:06,Male,11,Alavés - KickOff Kits,Sales Associate,9:00 AM - 5:00 PM
Sergio,Marín,2005-11-17 21:28:04,Male,10,Alavés - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Marcela,Sarmiento,1999-07-23 23:55:25,Female,12,Alavés - KickOff Kits,Store Manager,12:00 PM - 8:00 PM
Aristides,Landa,1989-03-25 08:29:10,Male,4,Alavés - KickOff Kits,Customer Service Representative,10:00 AM - 6:00 PM
José,Arroyo,1976-12-15 23:09:37,Male,4,Alavés - KickOff Kits,Inventory Clerk,12:00 PM - 8:00 PM
Ramiro,Lladó,1990-01-05 03:01:17,Male,15,Alavés - TurfTrends Emporium,Store Manager,9:00 AM - 5:00 PM
Herminio,Ortiz,1998-06-17 08:29:34,Male,2,Alavés - TurfTrends Emporium,Inventory Clerk,10:00 AM - 6:00 PM
Silvia,Torre,1976-03-26 13:21:48,Female,5,Alavés - TurfTrends Emporium,Cashier,12:00 PM - 8:00 PM
Telmo,Rodríguez,1986-12-19 07:41:56,Male,9,Alavés - TurfTrends Emporium,Cashier,9:00 AM - 5:00 PM
Clímaco,Portero,1992-07-07 06:39:44,Male,15,Alavés - TurfTrends Emporium,Inventory Clerk,12:00 PM - 8:00 PM
Gala,Abril,1986-08-09 01:08:52,Female,8,Alavés - Striker's Style Outlet,Inventory Clerk,10:00 AM - 6:00 PM
Lorena,Salas,1992-06-17 01:06:10,Female,3,Alavés - Striker's Style Outlet,Sales Associate,11:00 AM - 7:00 PM
Anselma,Villalobos,2005-06-20 20:04:58,Female,6,Alavés - Striker's Style Outlet,Cashier,12:00 PM - 8:00 PM
Rosalva,Pérez,2005-09-19 20:18:23,Female,6,Alavés - PitchPerfect Provisions,Store Manager,12:00 PM - 8:00 PM
Fabián,Elías,1996-10-08 23:19:28,Male,10,Alavés - PitchPerfect Provisions,Store Manager,10:00 AM - 6:00 PM
Godofredo,Bárcena,1976-06-06 16:43:48,Male,14,Alavés - PitchPerfect Provisions,Cashier,10:00 AM - 6:00 PM
Casemiro,Iniesta,2001-05-12 03:09:40,Male,8,Albacete - TurfTrends Emporium,Sales Associate,9:00 AM - 5:00 PM
Vilma,Cano,2002-09-16 03:42:58,Female,15,Albacete - TurfTrends Emporium,Store Manager,10:00 AM - 6:00 PM
