name of media group,description of media group,headquarters of the media group,name of the radio station,description of the radio station,frequency of the radio station,programme,description,programme_lssl,schedule,podcast,FirstName,LastName,Birthdate,Gender,Role,Specialization,Username_lssl
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Nicole,Gardner,1970-11-07,Male,Analyst,Esports Commentator,longronald
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Allison,Hernandez,2000-05-03,Male,Host,Youth Sports Correspondent,melinda94
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Julia,Nelson,1953-03-09,Male,Producer,Motorsports Journalist,george27
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Amanda,Jones,1963-08-26,Male,Journalist,Cricket Analyst,lhoward
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Anna,Allen,1937-07-31,Female,Analyst,Winter Sports Analyst,breynolds
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Mark,Alexander,1990-10-31,Female,Producer,Mixed Martial Arts (MMA) Reporter,christopher67
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Bailey,Roth,1989-05-25,Female,Reporter,Paralympics Reporter,melissamiller
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Soulful Sessions,Immerse yourself in the soulful sounds of various genres.,andalucawaves-soulfulsessions,20-23,0,Ryan,Wilson,1975-11-23,Female,Host,Sports Medicine Correspondent,raymondtravis
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Darren,Johnson,1958-09-24,Male,Host,Winter Sports Analyst,cynthia54
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Jacob,Spears,1979-03-29,Female,Commentator,Water Sports Reporter,allensteven
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Rebecca,Hill,1935-09-05,Female,Journalist,Athletics Commentator,yrogers
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Douglas,Sanford,1934-07-30,Male,Reporter,Mixed Martial Arts (MMA) Reporter,jbrown
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Nicholas,Ayala,1952-07-29,Male,Reporter,Sports Medicine Correspondent,benjamin67
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Kevin,Boyd,1999-05-16,Male,Reporter,Golf Writer,vargaslisa
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía Waves,Andalusian tunes and local events,87.6 FM,Andalucía Waves - Latin Lounge,Transport yourself to Latin cultures with this lively show.,andalucawaves-latinlounge,14-20,0,Michelle,Odonnell,2000-09-29,Male,Journalist,Equestrian Journalist,kendrali
