name of media group,description of media group,headquarters of the media group,title of the tv channel,video quality of the tv channel,programme,description,programme_lssl,schedule,production_company,FirstName,LastName,Birthdate,Gender,Role,Specialization,Username_lssl
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Kendra,Simpson,1939-01-27,Female,Producer,Water Sports Reporter,bdavis
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,John,Gomez,1958-05-18,Female,Host,Baseball Analyst,rmata
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Barbara,Mccormick,1960-12-09,Female,Reporter,Basketball Correspondent,russellsamuel
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Emily,Smith,1941-10-14,Male,Analyst,Boxing Reporter,nicholasjackson
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Gregory,Manning,1952-05-12,Female,Producer,Cycling Journalist,jeffreywoods
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Wanda,Murphy,1938-04-05,Female,Host,Soccer Journalist,arowe
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Robyn,Estes,1991-01-04,Female,Commentator,Athletics Commentator,hannah49
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Nicole,Silva,1981-01-17,Male,Journalist,Outdoor Adventure Journalist,derek67
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Heather,Deleon,1957-08-14,Male,Commentator,Equestrian Journalist,garrettbarber
AndalucíaMediaNet,Southern Spanish Stories,Granada,Andalucía TV,720p HD,Andalucía TV - Behind the Headlines,In-depth analysis and behind-the-scenes of top stories.,andalucatv-behindtheheadlines,08-11,Gallagher-Walker,Tonya,Mclean,1936-06-09,Female,Reporter,High School Sports Reporter,sleon
